IP地址,端口,TLS,数据中心,地区,城市,TCP延迟(ms),速度(MB/s)
91.149.239.122,443,TRUE,LAX,North America,Los Angeles,1049 ms,9720 kB/s
68.233.127.163,8443,TRUE,YUL,North America,Montréal,344,7.2
66.154.116.165,443,TRUE,LAX,North America,Los Angeles,966 ms,3190 kB/s
64.110.89.106,443,TRUE,LAX,North America,Los Angeles,325,7.29
64.110.78.239,443,TRUE,LAX,North America,Los Angeles,317,7.29
63.237.48.111,443,TRUE,LAX,North America,Los Angeles,1420 ms,6700 kB/s
43.156.253.94,443,TRUE,SIN,Asia Pacific,Singapore,537 ms,5610 kB/s
40.233.70.7,8443,TRUE,LAX,North America,Los Angeles,1239 ms,3170 kB/s
35.167.93.200,443,TRUE,PDX,North America,Portland,200 ms,6715 kB/s
217.20.241.119,15111,TRUE,LAX,North America,Los Angeles,854 ms,2910 kB/s
212.103.62.244,19560,TRUE,LAX,North America,Los Angeles,875 ms,3970 kB/s
206.223.84.77,8443,TRUE,LAX,North America,Los Angeles,1049 ms,4650 kB/s
204.110.223.177,80,TRUE,LAX,North America,Los Angeles,1264 ms,3640 kB/s
204.110.221.69,80,TRUE,YUL,North America,Montréal,249 ms,2514 kB/s
204.110.221.36,80,TRUE,YUL,North America,Montréal,251 ms,4364 kB/s
204.110.221.251,80,TRUE,YUL,North America,Montréal,256 ms,3205 kB/s
204.110.221.20,80,TRUE,YUL,North America,Montréal,252 ms,5264 kB/s
204.110.221.1,80,TRUE,YUL,North America,Montréal,257 ms,3263 kB/s
20.33.30.36,2083,TRUE,LAX,North America,Los Angeles,1157 ms,3630 kB/s
193.123.240.12,443,TRUE,LAX,North America,Los Angeles,431,7.2
193.123.239.64,443,TRUE,LAX,North America,Los Angeles,461,5.88
165.154.36.49,34237,TRUE,LAX,North America,Los Angeles,943 ms,3320 kB/s
164.152.26.70,2052,TRUE,LAX,North America,Los Angeles,1051 ms,4200 kB/s
164.152.26.70,2086,TRUE,LAX,North America,Los Angeles,1229 ms,3960 kB/s
158.101.24.17,443,TRUE,LAX,North America,Los Angeles,267 ms,3600 kB/s
155.248.196.123,443,TRUE,YVR,North America,Vancouver,248,4.2
154.9.241.153,38808,TRUE,LAX,North America,Los Angeles,943 ms,3390 kB/s
152.70.244.221,443,TRUE,LAX,North America,Los Angeles,395,4.03
152.70.243.118,443,TRUE,LAX,North America,Los Angeles,265,7.22
152.70.155.147,8443,TRUE,LAX,North America,Los Angeles,245 ms,5051 kB/s
152.70.155.147,443,TRUE,LAX,North America,Los Angeles,362,4.68
152.70.155.147,2096,TRUE,LAX,North America,Los Angeles,306,4.36
152.70.155.147,2087,TRUE,LAX,North America,Los Angeles,331,4.04
152.70.155.147,2053,TRUE,LAX,North America,Los Angeles,350,3.52
152.70.155.147,2083,TRUE,LAX,North America,Los Angeles,354,3.04
151.145.39.237,443,TRUE,YYZ,North America,Toronto,461,3.8
150.230.34.116,443,TRUE,SJC,North America,San Jose,261,3.49
150.136.23.49,443,TRUE,IAD,North America,Ashburn,274,6.31
146.56.37.248,443,TRUE,LAX,North America,Los Angeles,381,5.41
146.56.130.151,443,TRUE,LAX,North America,Los Angeles,352,4.67
143.47.111.5,443,TRUE,IAD,North America,Ashburn,296,4.57
141.148.187.195,443,TRUE,LAX,North America,Los Angeles,450,3.07
141.148.17.18,443,TRUE,IAD,North America,Ashburn,455,4.19
140.238.158.238,8080,TRUE,YYZ,North America,Toronto,238 ms,2400 kB/s
140.238.158.238,443,TRUE,YYZ,North America,Toronto,339,3.49
132.226.31.178,443,TRUE,LAX,North America,Los Angeles,326,4.12
132.226.114.74,443,TRUE,LAX,North America,Los Angeles,320,4.52
129.80.89.107,443,TRUE,IAD,North America,Ashburn,343,6.65
129.80.78.37,443,TRUE,IAD,North America,Ashburn,292,6.65
129.80.45.124,443,TRUE,IAD,North America,Ashburn,314,7.24
129.80.225.97,443,TRUE,IAD,North America,Ashburn,348,4.89
129.80.159.130,443,TRUE,IAD,North America,Ashburn,243,6.23
129.80.149.230,443,TRUE,IAD,North America,Ashburn,257,7.25
129.213.136.180,443,TRUE,IAD,North America,Ashburn,313,3.65
129.159.112.82,443,TRUE,IAD,North America,Ashburn,313,7.18
129.158.57.5,443,TRUE,IAD,North America,Ashburn,335,7.21
129.154.206.41,443,TRUE,LAX,North America,Los Angeles,372,5.76
129.153.39.205,443,TRUE,IAD,North America,Ashburn,374,5.71
129.153.170.112,443,TRUE,IAD,North America,Ashburn,232,6.49
129.153.130.165,443,TRUE,IAD,North America,Ashburn,237,6.69
129.146.46.164,443,TRUE,LAX,North America,Los Angeles,250 ms,4833 kB/s
129.146.254.39,443,TRUE,LAX,North America,Los Angeles,237 ms,3500 kB/s
129.146.221.78,443,TRUE,LAX,North America,Los Angeles,241,4.33
107.172.103.195,16002,TRUE,LAX,North America,Los Angeles,978 ms,5810 kB/s
